
filename,"10.1021Jp911733e.Isotherm1"
DOI,"10.1021/Jp911733e"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-081a0818678716f502aee0b58ac1b30a"
name,"Zeolite 4A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0268892"
total_adsorption,"2.15646"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.15646"
line_id,"2"
pressure,"0.0299571"
total_adsorption,"1.83203"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.83203"
line_id,"3"
pressure,"0.0431311"
total_adsorption,"0.43889"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.43889"
line_id,"4"
pressure,"0.0799459"
total_adsorption,"1.54573"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.54573"
line_id,"5"
pressure,"0.0840965"
total_adsorption,"1.10679"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.10679"
line_id,"6"
pressure,"0.0877058"
total_adsorption,"0.725107"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.725107"
line_id,"7"
pressure,"0.0922175"
total_adsorption,"0.248004"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.248004"
line_id,"8"
pressure,"0.213129"
total_adsorption,"2.46163"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.46163"
line_id,"9"
pressure,"0.352448"
total_adsorption,"2.72867"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.72867"
line_id,"10"
pressure,"0.445567"
total_adsorption,"2.88125"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.88125"
line_id,"11"
pressure,"0.822558"
total_adsorption,"3.01448"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.01448"
line_id,"12"
pressure,"1.0106"
total_adsorption,"3.12881"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.12881"
line_id,"13"
pressure,"1.05752"
total_adsorption,"3.16693"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.16693"
line_id,"14"
pressure,"1.24647"
total_adsorption,"3.18583"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.18583"
line_id,"15"
pressure,"1.6711"
total_adsorption,"3.28085"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.28085"
line_id,"16"
pressure,"2.04845"
total_adsorption,"3.37591"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.37591"
line_id,"17"
pressure,"2.42563"
total_adsorption,"3.49005"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.49005"
line_id,"18"
pressure,"2.85026"
total_adsorption,"3.58507"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.58507"
line_id,"19"
pressure,"3.27489"
total_adsorption,"3.68008"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.68008"
line_id,"20"
pressure,"3.69953"
total_adsorption,"3.7751"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.7751"
line_id,"21"
pressure,"4.07706"
total_adsorption,"3.85107"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.85107"
line_id,"22"
pressure,"4.26582"
total_adsorption,"3.88906"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.88906"
line_id,"23"
pressure,"4.45459"
total_adsorption,"3.92705"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.92705"
line_id,"24"
pressure,"4.8794"
total_adsorption,"4.00298"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.00298"
line_id,"25"
pressure,"5.30422"
total_adsorption,"4.07891"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.07891"
line_id,"26"
pressure,"5.77649"
total_adsorption,"4.13571"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.13571"
line_id,"27"
pressure,"6.20167"
total_adsorption,"4.17347"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.17347"
line_id,"28"
pressure,"6.67413"
total_adsorption,"4.21119"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.21119"
line_id,"29"
pressure,"6.95764"
total_adsorption,"4.23"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.23"
line_id,"30"
pressure,"7.05238"
total_adsorption,"4.21083"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.21083"
line_id,"31"
pressure,"7.14658"
total_adsorption,"4.24891"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.24891"
line_id,"32"
pressure,"7.61922"
total_adsorption,"4.26754"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.26754"
line_id,"33"
pressure,"8.04439"
total_adsorption,"4.3053"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.3053"
line_id,"34"
pressure,"8.51703"
total_adsorption,"4.32393"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.32393"
line_id,"35"
pressure,"8.98967"
total_adsorption,"4.34257"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.34257"
line_id,"36"
pressure,"9.41502"
total_adsorption,"4.36125"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.36125"
line_id,"37"
pressure,"9.88766"
total_adsorption,"4.37988"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.37988"
line_id,"38"
pressure,"10.313"
total_adsorption,"4.39856"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.39856"
line_id,"39"
pressure,"10.7858"
total_adsorption,"4.39811"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.39811"
line_id,"40"
pressure,"11.2585"
total_adsorption,"4.41674"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.41674"
line_id,"41"
pressure,"11.6838"
total_adsorption,"4.43542"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.43542"
line_id,"42"
pressure,"12.1565"
total_adsorption,"4.45405"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.45405"
line_id,"43"
pressure,"12.6293"
total_adsorption,"4.4536"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.4536"
line_id,"44"
pressure,"13.1019"
total_adsorption,"4.47223"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.47223"
line_id,"45"
pressure,"13.5273"
total_adsorption,"4.49091"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.49091"
line_id,"46"
pressure,"14.1421"
total_adsorption,"4.47124"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.47124"
line_id,"47"
pressure,"14.3311"
total_adsorption,"4.49014"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.49014"
line_id,"48"
pressure,"14.8037"
total_adsorption,"4.50878"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.50878"
line_id,"49"
pressure,"15.2765"
total_adsorption,"4.50832"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.50832"
line_id,"50"
pressure,"15.7493"
total_adsorption,"4.50787"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.50787"
line_id,"51"
pressure,"16.2222"
total_adsorption,"4.50742"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.50742"
line_id,"52"
pressure,"16.695"
total_adsorption,"4.50697"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.50697"
line_id,"53"
pressure,"17.1678"
total_adsorption,"4.50652"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.50652"
line_id,"54"
pressure,"17.6408"
total_adsorption,"4.48698"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.48698"
line_id,"55"
pressure,"18.1136"
total_adsorption,"4.48653"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.48653"
line_id,"56"
pressure,"18.5864"
total_adsorption,"4.48608"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.48608"
line_id,"57"
pressure,"18.9649"
total_adsorption,"4.46664"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.46664"
line_id,"58"
pressure,"19.4377"
total_adsorption,"4.46619"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.46619"
line_id,"59"
pressure,"19.7686"
total_adsorption,"4.46587"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.46587"
line_id,"60"
pressure,"19.9105"
total_adsorption,"4.46573"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.46573"
line_id,"61"
pressure,"20.3833"
total_adsorption,"4.46528"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.46528"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0268892","1","2.15646","2.15646"
2,"0.0299571","1","1.83203","1.83203"
3,"0.0431311","1","0.43889","0.43889"
4,"0.0799459","1","1.54573","1.54573"
5,"0.0840965","1","1.10679","1.10679"
6,"0.0877058","1","0.725107","0.725107"
7,"0.0922175","1","0.248004","0.248004"
8,"0.213129","1","2.46163","2.46163"
9,"0.352448","1","2.72867","2.72867"
10,"0.445567","1","2.88125","2.88125"
11,"0.822558","1","3.01448","3.01448"
12,"1.0106","1","3.12881","3.12881"
13,"1.05752","1","3.16693","3.16693"
14,"1.24647","1","3.18583","3.18583"
15,"1.6711","1","3.28085","3.28085"
16,"2.04845","1","3.37591","3.37591"
17,"2.42563","1","3.49005","3.49005"
18,"2.85026","1","3.58507","3.58507"
19,"3.27489","1","3.68008","3.68008"
20,"3.69953","1","3.7751","3.7751"
21,"4.07706","1","3.85107","3.85107"
22,"4.26582","1","3.88906","3.88906"
23,"4.45459","1","3.92705","3.92705"
24,"4.8794","1","4.00298","4.00298"
25,"5.30422","1","4.07891","4.07891"
26,"5.77649","1","4.13571","4.13571"
27,"6.20167","1","4.17347","4.17347"
28,"6.67413","1","4.21119","4.21119"
29,"6.95764","1","4.23","4.23"
30,"7.05238","1","4.21083","4.21083"
31,"7.14658","1","4.24891","4.24891"
32,"7.61922","1","4.26754","4.26754"
33,"8.04439","1","4.3053","4.3053"
34,"8.51703","1","4.32393","4.32393"
35,"8.98967","1","4.34257","4.34257"
36,"9.41502","1","4.36125","4.36125"
37,"9.88766","1","4.37988","4.37988"
38,"10.313","1","4.39856","4.39856"
39,"10.7858","1","4.39811","4.39811"
40,"11.2585","1","4.41674","4.41674"
41,"11.6838","1","4.43542","4.43542"
42,"12.1565","1","4.45405","4.45405"
43,"12.6293","1","4.4536","4.4536"
44,"13.1019","1","4.47223","4.47223"
45,"13.5273","1","4.49091","4.49091"
46,"14.1421","1","4.47124","4.47124"
47,"14.3311","1","4.49014","4.49014"
48,"14.8037","1","4.50878","4.50878"
49,"15.2765","1","4.50832","4.50832"
50,"15.7493","1","4.50787","4.50787"
51,"16.2222","1","4.50742","4.50742"
52,"16.695","1","4.50697","4.50697"
53,"17.1678","1","4.50652","4.50652"
54,"17.6408","1","4.48698","4.48698"
55,"18.1136","1","4.48653","4.48653"
56,"18.5864","1","4.48608","4.48608"
57,"18.9649","1","4.46664","4.46664"
58,"19.4377","1","4.46619","4.46619"
59,"19.7686","1","4.46587","4.46587"
60,"19.9105","1","4.46573","4.46573"
61,"20.3833","1","4.46528","4.46528"
