
filename,"10.1021Jp911733e.Isotherm3"
DOI,"10.1021/Jp911733e"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-76591b35b6e15ebca7e84b7b467ee638"
name,"Zeolite 4A S0.3"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"303"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.708685"
total_adsorption,"0.0565757"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0565757"
line_id,"2"
pressure,"1.5594"
total_adsorption,"0.0939319"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0939319"
line_id,"3"
pressure,"2.59959"
total_adsorption,"0.0929393"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0929393"
line_id,"4"
pressure,"2.78872"
total_adsorption,"0.0927589"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0927589"
line_id,"5"
pressure,"3.26154"
total_adsorption,"0.0923077"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0923077"
line_id,"6"
pressure,"3.73418"
total_adsorption,"0.110941"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.110941"
line_id,"7"
pressure,"4.20681"
total_adsorption,"0.129574"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.129574"
line_id,"8"
pressure,"4.67963"
total_adsorption,"0.129122"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.129122"
line_id,"9"
pressure,"5.0577"
total_adsorption,"0.147846"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.147846"
line_id,"10"
pressure,"5.48324"
total_adsorption,"0.14744"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.14744"
line_id,"11"
pressure,"5.95588"
total_adsorption,"0.166073"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.166073"
line_id,"12"
pressure,"6.33395"
total_adsorption,"0.184796"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.184796"
line_id,"13"
pressure,"6.80695"
total_adsorption,"0.165261"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.165261"
line_id,"14"
pressure,"7.2323"
total_adsorption,"0.183939"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.183939"
line_id,"15"
pressure,"7.70512"
total_adsorption,"0.183487"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.183487"
line_id,"16"
pressure,"8.17776"
total_adsorption,"0.20212"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.20212"
line_id,"17"
pressure,"8.55619"
total_adsorption,"0.182675"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.182675"
line_id,"18"
pressure,"9.02865"
total_adsorption,"0.220393"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.220393"
line_id,"19"
pressure,"9.50147"
total_adsorption,"0.219941"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.219941"
line_id,"20"
pressure,"9.92682"
total_adsorption,"0.238619"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.238619"
line_id,"21"
pressure,"10.3996"
total_adsorption,"0.238168"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.238168"
line_id,"22"
pressure,"10.8723"
total_adsorption,"0.256801"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.256801"
line_id,"23"
pressure,"11.3451"
total_adsorption,"0.25635"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.25635"
line_id,"24"
pressure,"11.7704"
total_adsorption,"0.275028"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.275028"
line_id,"25"
pressure,"12.2433"
total_adsorption,"0.274577"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.274577"
line_id,"26"
pressure,"12.7157"
total_adsorption,"0.312294"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.312294"
line_id,"27"
pressure,"13.1413"
total_adsorption,"0.311888"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.311888"
line_id,"28"
pressure,"13.6141"
total_adsorption,"0.311437"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.311437"
line_id,"29"
pressure,"14.0393"
total_adsorption,"0.349199"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.349199"
line_id,"30"
pressure,"14.465"
total_adsorption,"0.329709"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.329709"
line_id,"31"
pressure,"14.9378"
total_adsorption,"0.329258"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.329258"
line_id,"32"
pressure,"15.316"
total_adsorption,"0.328897"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.328897"
line_id,"33"
pressure,"15.7887"
total_adsorption,"0.34753"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.34753"
line_id,"34"
pressure,"16.214"
total_adsorption,"0.366208"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.366208"
line_id,"35"
pressure,"16.6868"
total_adsorption,"0.365757"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.365757"
line_id,"36"
pressure,"17.1595"
total_adsorption,"0.38439"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.38439"
line_id,"37"
pressure,"17.6323"
total_adsorption,"0.383939"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.383939"
line_id,"38"
pressure,"17.8214"
total_adsorption,"0.383758"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.383758"
line_id,"39"
pressure,"18.2941"
total_adsorption,"0.402391"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.402391"
line_id,"40"
pressure,"18.7194"
total_adsorption,"0.421069"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.421069"
line_id,"41"
pressure,"19.145"
total_adsorption,"0.420663"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.420663"
line_id,"42"
pressure,"19.6176"
total_adsorption,"0.439296"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.439296"
line_id,"43"
pressure,"20.0904"
total_adsorption,"0.438845"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.438845"
line_id,"44"
pressure,"20.4687"
total_adsorption,"0.438484"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.438484"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.708685","1","0.0565757","0.0565757"
2,"1.5594","1","0.0939319","0.0939319"
3,"2.59959","1","0.0929393","0.0929393"
4,"2.78872","1","0.0927589","0.0927589"
5,"3.26154","1","0.0923077","0.0923077"
6,"3.73418","1","0.110941","0.110941"
7,"4.20681","1","0.129574","0.129574"
8,"4.67963","1","0.129122","0.129122"
9,"5.0577","1","0.147846","0.147846"
10,"5.48324","1","0.14744","0.14744"
11,"5.95588","1","0.166073","0.166073"
12,"6.33395","1","0.184796","0.184796"
13,"6.80695","1","0.165261","0.165261"
14,"7.2323","1","0.183939","0.183939"
15,"7.70512","1","0.183487","0.183487"
16,"8.17776","1","0.20212","0.20212"
17,"8.55619","1","0.182675","0.182675"
18,"9.02865","1","0.220393","0.220393"
19,"9.50147","1","0.219941","0.219941"
20,"9.92682","1","0.238619","0.238619"
21,"10.3996","1","0.238168","0.238168"
22,"10.8723","1","0.256801","0.256801"
23,"11.3451","1","0.25635","0.25635"
24,"11.7704","1","0.275028","0.275028"
25,"12.2433","1","0.274577","0.274577"
26,"12.7157","1","0.312294","0.312294"
27,"13.1413","1","0.311888","0.311888"
28,"13.6141","1","0.311437","0.311437"
29,"14.0393","1","0.349199","0.349199"
30,"14.465","1","0.329709","0.329709"
31,"14.9378","1","0.329258","0.329258"
32,"15.316","1","0.328897","0.328897"
33,"15.7887","1","0.34753","0.34753"
34,"16.214","1","0.366208","0.366208"
35,"16.6868","1","0.365757","0.365757"
36,"17.1595","1","0.38439","0.38439"
37,"17.6323","1","0.383939","0.383939"
38,"17.8214","1","0.383758","0.383758"
39,"18.2941","1","0.402391","0.402391"
40,"18.7194","1","0.421069","0.421069"
41,"19.145","1","0.420663","0.420663"
42,"19.6176","1","0.439296","0.439296"
43,"20.0904","1","0.438845","0.438845"
44,"20.4687","1","0.438484","0.438484"
